	SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	N_10K	SUM_10K	N_100K	SUM_100K	N_1M	SUM_1M	QV_MEAN	QV_MED	QV_MAX
116	HG02769	HG02769_20210902_UL_eee-prom1-3H-PAH34317_guppy-5.0.11-sup-prom_fastq_pass	309	10968357	35496.3009708738	8138	104912	169	334538	55186.9415573679	146	10605420	38	5913270	0	0	12.4528548756738	12.224625317764	17.183011615664
117	HG02769	HG02769_20210831_UL_eee-prom1-3B-PAH61842_guppy-5.0.11-sup-prom_fastq_pass	193529	6099520228	31517.3448320407	1645	148372	14	1761414	72636.106330441	64084	5906291895	20547	4086262361	59	71570918	13.6711678326024	13.5250619983673	60
118	HG02769	HG02769_20211102_UL_eee-prom1-1C-PAI18970-2_guppy-5.0.11-sup-prom_fastq_pass	50203	2181438775	43452.3589227735	15470	116182	52	1393779	69600.968781856	28259	2124442027	6725	1236446878	2	2532489	12.4313278648921	11.8531072215018	52.9406938175654
119	HG02769	HG02769_20211202_UL_eee-prom1-1F-PAI20069_guppy-5.0.11-sup-prom_fastq_pass	12832	451022309	35148.2472724439	16130.5	83035	51	583068	47791.6364768787	7448	433301664	1217	185239477	0	0	12.4999926693585	12.2748399163952	49.4422692961211
120	HG02769	HG02769_20211208_UL_eee-prom1-1F-PAI74941_guppy-5.0.11-sup-prom_fastq_pass	345185	10273186542	29761.3932876573	8610	102918	24	1118151	57072.0571051359	161313	9635602648	27903	5238211714	2	2122268	14.5514248863687	14.6318798564743	60
121	HG02769	HG02769_20211201_UL_eee-prom1-1F-PAI20069_guppy-5.0.11-sup-prom_fastq_pass	186677	6894663338	36933.6519121263	16480	88020	67	955402	50445.9640627165	109579	6649446643	19382	3006962772	0	0	13.9742454942778	13.8998527755848	49.9366472261493
122	HG02769	HG02769_20211116_UL_eee-prom1-3A-PAI18834_guppy-5.0.11-sup-prom_fastq_pass	122506	2971111262	24252.7815943709	2643	100213	16	780963	49407.0491839862	44142	2834102564	8712	1487968591	0	0	14.2862909097431	14.0775194804563	60
123	HG02769	HG02769_20210922_UL_eee-prom1-2C-PAH79896_guppy-5.0.11-sup-prom_fastq_pass	6740	183800727	27270.137537092	8200.5	77529	130	628040	44379.7816098325	3203	176490037	446	69517164	0	0	12.921859993649	12.8299362271288	52.1970669578726
124	HG02769	HG02769_20211103_UL_eee-prom1-1C-PAI18970_guppy-5.0.11-sup-prom_fastq_pass	38843	1625956854	41859.7135648637	19461	95915	44	1014999	59262.6246667712	24445	1579531751	4599	781382347	1	1014999	12.0606422197173	11.6188300577612	48.3419657665647
125	HG02769	HG02769_20211130_UL_eee-prom1-1B-PAI20069_guppy-5.0.11-sup-prom_fastq_pass	246182	9095339951	36945.5928987497	13266	98523	34	968135	54782.3732419025	133246	8764806675	27670	4486315846	0	0	14.651071348393	14.6990342229335	56.7932457803514
