SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	QV_MEAN	QV_MED	QV_MAX	PASS_MEAN	PASS_MED	PASS_MAX
HG01457	JAX_HiFi_HG01457_m64119_210701_004527	1694345	30621678248	18072.8707836952	17110	18292	47	63520	4718.35206375238	31.7835398926679	31.765112289114	60	9.55855035426669	9	60
HG01457	JAX_HiFi_HG01457_m64119_211210_191732	2483063	40287946996	16225.1006100127	15229	16099	49	62033	4030.32779768056	34.2128944698711	34.6136678718733	60	11.7043550646923	11	60
HG01457	JAX_HiFi_HG01457_m64039_211217_233816	2221753	36188329639	16288.1875883593	15293	16170	85	62010	4028.86917052909	32.2060185409991	32.096536819244	60	11.5947807879634	11	60
HG00358	JAX_HiFi_HG00358_m64119_211213_170947	2374637	42481222979	17889.5650067779	16880	18194	53	62427	4875.64556134994	32.6822184328152	32.6287183691722	60	10.4075107058468	10	60
HG00358	JAX_HiFi_HG00358_m64039_211122_182856	2403418	43568189631	18127.5956288086	17099	18685	47	60751	5258.52191112119	32.6232044516377	32.7959612581343	60	11.0365795712606	10	60
HG00358	JAX_HiFi_HG00358_m64039_211211_155133	2372926	42048130537	17719.9501952442	16701	18179	46	62348	5110.77774542921	33.1922384626885	33.4688800444265	60	11.5376417132266	11	60
HG00358	JAX_HiFi_HG00358_m64039_211203_172706	2503151	44542113074	17794.4171462289	16800	18282	52	59337	5105.83177413635	33.1591930606804	33.2087055783887	60	10.7527684106952	10	60
HG00358	JAX_HiFi_HG00358_m64039_211220_201243	2354223	42305269368	17969.9499019422	16957	18285	86	59214	4888.09516940898	32.4612475490181	32.2389551932994	60	10.3256441721961	9	60
HG01890	JAX_HiFi_HG01890_m64119_211215_040636	2657526	39302502283	14789.1318026616	14021	14989	51	51566	3827.76432246006	34.2788107784012	34.3169823608957	60	12.1007971323705	11	60
HG01890	JAX_HiFi_HG01890_m64039_211124_052608	2679970	42493812575	15856.0777079594	15119	16122	47	58583	3943.01437525451	33.8348779990129	34.2974415188442	60	12.2025261476808	12	60
HG01890	JAX_HiFi_HG01890_m64039_211213_024848	2721553	41984393770	15426.6309603377	14698	15613	49	58939	3789.70622603873	34.2073505979543	34.4729307354624	60	11.9958126848898	11	60
HG01890	JAX_HiFi_HG01890_m64039_211205_042353	2667483	41484073144	15551.766644436	14829	15761	49	55730	3820.4712868141	33.9949182252171	34.444025837954	60	12.277111794152	12	60
HG01890	JAX_HiFi_HG01890_m64039_211222_053942	2559661	38113193080	14889.9378003572	14123	15100	53	59208	3834.583498458	34.0658579042823	33.8662675748995	60	12.0874049337002	11	60
HG02106	JAX_HiFi_HG02106_m64119_210108_225831	1387725	21821397019	15724.5830542795	14990	15985	46	50431	4263.69071070799	32.3164075449007	32.174416486013	60	10.0244450449477	9	1619
HG02106	JAX_HiFi_HG02106_m64039_210117_062206	1449054	22418788795	15471.3273590908	14764	15729	44	50341	4148.45123643594	30.7472242735979	30.3240339123281	60	9.68116026041818	9	1043
HG02106	JAX_HiFi_HG02106_m64119_210122_231012	985817	16718546682	16959.0772749912	16184	17328	44	50292	4664.99858528268	31.272177146888	30.9593303729295	60	9.75299472417295	9	1408
HG02106	JAX_HiFi_HG02106_m64119_210324_200403	1336024	23505735221	17593.7971331353	16639	17963	47	50397	5122.72898888837	31.3863608766166	31.13020618362	60	9.46118333203595	9	669
HG02106	JAX_HiFi_HG02106_m64119_210210_174344	1703807	27765930709	16296.4060536199	15512	16538	46	50433	4442.57685789139	30.8120904133378	30.3567898802654	60	9.59643022948022	9	1655
HG03248	JAX_HiFi_HG03248_m64119_210613_003658	1293766	23334090071	18035.7885977835	16868	18179	86	61684	4940.92677026157	29.1395236610187	28.3406734868723	60	8.66706575995968	8	60
HG03248	JAX_HiFi_HG03248_m64119_211212_061234	2090672	31929457424	15272.3418231076	14067	15454	175	59804	4796.12386065479	34.1108341758196	33.9349020206849	60	12.5649925000191	12	60
HG03248	JAX_HiFi_HG03248_m64039_210628_130740	1366696	22483235467	16450.7948124528	15277	16945	462	66646	5225.95502973734	31.4655676872321	30.6859494911295	60	9.85644795916575	9	60
HG03248	JAX_HiFi_HG03248_m64119_210618_180607	1387072	24223359004	17463.6637492502	16327	18159	271	66667	5583.239515848	32.3078577915367	31.8502823428652	60	10.1200391904674	9	60
HG03248	JAX_HiFi_HG03248_m64039_210710_005846	1361285	25040464638	18394.7260404691	17162	18589	85	72048	5180.95757794468	31.4236714772393	30.9194806662593	60	9.72517217188172	9	60
NA19347	JAX_HiFi_NA19347_m64039_210619_082814	1375817	28596560860	20785.1486498568	20067	21988	86	65671	6124.59172871571	29.621652593705	29.1694582741846	60	8.502119104503	8	60
NA19347	JAX_HiFi_NA19347_m64039_210620_163340	1381927	29592858923	21414.1983787856	20782	22691	84	60834	6197.98624838326	29.0762115053103	28.4797874091715	60	8.0635294049541	7	60
NA19347	JAX_HiFi_NA19347_m64119_220503_020657	2227408	40685453940	18265.8291341326	17316	19287	44	60097	5912.76558324566	32.0105991695644	31.5449726247459	60	10.2238022849878	9	60
NA19347	JAX_HiFi_NA19347_m64119_210611_153956	1870931	33872460120	18104.6014631218	17040	19056	85	60565	5861.64504577664	31.4427624185059	31.0473858863139	60	10.0520997300275	9	60
NA19347	JAX_HiFi_NA19347_m64119_220509_164847	2138867	38196013058	17858.0589901102	16951	18907	43	60997	5886.96835118431	32.0714292778884	31.3715141977376	60	10.255987398936	9	60
NA19384	JAX_HiFi_NA19384_m64119_211223_194521	2325615	37839952219	16270.9443390243	15126	16704	86	63127	5131.87443533685	32.9093789522747	32.3486978633237	60	11.0716571745538	10	60
NA19384	JAX_HiFi_NA19384_m64119_210614_074737	1962250	35068431252	17871.5409616512	16826	18675	85	61069	5624.41411013133	31.7749687626623	31.48698754152	60	9.8104324117722	9	60
NA19384	JAX_HiFi_NA19384_m64039_211219_103338	2537659	42321178047	16677.2517690517	15475	17175	86	67001	5345.87250626137	33.6632777687184	33.572524080765	60	11.6679435653096	11	60
NA19384	JAX_HiFi_NA19384_m64119_210621_120219	1476314	28181252071	19088.9282842268	18144	20316	85	62171	6136.52569014962	31.7973563512436	31.2297282198918	60	9.49943778897985	8	60
NA19384	JAX_HiFi_NA19384_m64119_210620_030317	1615723	30957518401	19160.164459502	18216	20418	86	66109	6180.61047094383	32.2227738202149	31.9250419263757	60	10.033344824577	9	60
NA20509	JAX_HiFi_NA20509_m64039_220301_041619	1976442	30140261596	15249.7576938762	14385	15311	45	63657	3893.80649572125	34.4494798727306	34.6452366648041	60	12.5245375275369	12	60
NA20509	JAX_HiFi_NA20509_m64119_220204_203221	2424620	38993757329	16082.420061288	15185	16155	43	63979	4063.65045504102	33.4462009562018	33.4821339166967	60	11.5270417632454	11	60
NA20509	JAX_HiFi_NA20509_m64039_220219_181334	971694	15663733252	16120.0267285792	15224	16203	44	60729	4073.72036258633	35.0397061384101	35.5447404286142	60	12.2876522855961	12	60
NA20509	JAX_HiFi_NA20509_m64119_220211_173309	2406061	38456603917	15983.2206735407	15104	16046	41	61083	4001.29128010346	33.6617180090314	33.7566920536604	60	11.3262739390232	11	60
HG00096	JAX_HiFi_HG00096_m64039_220211_040031	2511170	37446279705	14911.8855772409	13970	15083	43	65861	4142.61398537925	32.9639655729314	32.6766360793313	60	11.1972737807476	10	60
HG00096	JAX_HiFi_HG00096_m64039_220218_071556	2582500	38574528774	14936.8940073572	13995	15125	45	67892	4177.12473453982	34.4603454731362	34.6256670363195	60	13.342312875121	12	60
HG00096	JAX_HiFi_HG00096_m64119_220224_171953	2439282	36691941794	15042.1073881577	14127	15250	44	60477	4145.83704983427	33.07473777203	32.849511204822	60	11.5670463685626	11	60
