SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	N_10K	SUM_10K	N_100K	SUM_100K	N_1M	SUM_1M	QV_MEAN	QV_MED	QV_MAX
HG02011	20220322_220316_21-lee-006_PC24B149_3F	869956	61543667300	70743.4252996703	36733	154074	18	1093660	88763.9989948794	629809	60657646268	218521	42541833317	3	3167314	15.1579383535893	15.3085917170691	56.7311091507815
HG02011	20220405_220330_21-lee-006_PC24B149_1D	562441	25130098667	44680.4174428962	25464	89079	57	891875	55543.2424050998	396678	24468041850	69048	11178087468	0	0	15.7032291708714	15.9358152320988	60
HG02011	20220405_220329_21-lee-006_PC24B149_2F	706268	19330425214	27369.816010353	12983	59682	24	950544	44592.4550719366	404723	17994302017	37130	6557103171	0	0	16.4840057615518	16.7834779411927	60
HG02282	20211102_211027_21-lee-006_PCT0053_2-A5-D5	410171	27014228403	65860.8931470045	20304	185029	19	1140552	99493.0616628885	241457	26539832248	93896	20143178343	10	10733454	12.7812928539019	12.5573887119133	45.9667541040401
HG02282	20220315_220308_21-lee-006_PC24B149_1D	867172	61419973194	70827.9017242254	27938	180684	21	1162157	97585.4997268866	564837	60390301873	216830	45457645151	10	10544538	15.0046497553169	15.1673375394974	58.6860685123045
HG02282	20220307_220302_21-lee-006_PC24B149_2E	921199	55679910282	60442.8687851376	22041	162028	23	1344581	87128.224074598	585465	54479825668	191025	38547989516	7	7909471	14.9797935888363	15.1489334755596	60
HG02492	20220412_220407_21-lee-006_PC24B149_3E	255847	16442498260	64266.9183535472	31467	144703	50	1020853	83198.7768061823	178206	16157207699	57937	10959930637	3	3030165	14.7044106815134	14.7559719865794	45.5526452008049
HG02492	20220408_220405_21-lee-006_PC24B149_3E	731859	49692498960	67899.0064479634	32903	154885	40	1321408	87990.4409100127	504051	48921993644	178276	34566708764	4	4512418	15.2581451024705	15.4542209527338	55.6375851213729
HG02492	20220419_220412_21-lee-006_PC24B149_2D	694368	42331388446	60963.9102694825	30056.5	137934	40	980817	79076.1548374804	477562	41580958815	147326	27303263345	0	0	14.9105313368871	15.0630601700929	54.5248197334329
HG03009	20220307_220302_21-lee-006_PC24B149_3F	678162	45095754941	66497.0242228258	35470	144015	32	3223372	82820.0641122343	481607	44489594747	161738	30189539176	9	13761410	15.2805344985951	15.468930593595	55.2053798285552
HG03009	20220223_220216_21-lee-006_PC24B149_1G	748358	49547872178	66208.7826655157	32646	148580	26	1365587	88538.3804673075	528079	48824239807	168555	33210241754	14	15742133	15.5009707975414	15.7407449576947	57.6907349896823
HG03009	20220226_220223_21-lee-006_PC24B149_3F	506563	26447818108	52210.3235096128	24232	121181	14	1157145	72224.6591922305	329966	25900440957	86012	15542620406	2	2164742	15.4317040251287	15.6330631127971	60
HG03248	20211022_211012_21-lee-006_PCT0053_2-A9-D9	929976	61744309147	66393.4436447822	26622.5	168296	10	1042218	91348.1534572146	598209	60720255771	220151	44403531028	5	5145487	13.8455778416482	13.8947276366231	54.3141826546154
HG03248	20210630_210623_21-lee-006_PCT0053_2-E9-H9	507143	34626503940	68277.5941696918	21891	181419	28	1152208	94483.3154058082	294866	34104487309	132610	26711651767	2	2273434	13.4314066289048	13.3520830840675	59.8977255274805
HG03248	20211102_211027_21-lee-006_PCT0053_2-A9-D9	607159	35532752106	58522.9768577918	19109	161307	19	1647586	85472.3763049833	357535	34809875322	126594	24970978491	2	2877108	13.2887993332897	13.2239030907418	60
