sample	datatype	file_name	remote_path	accession	file_type	file_basename
HG01352	ont	HG01352_20210804_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown	FASTQ	HG01352_20210804_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352	ont	HG01352_20210805_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown	FASTQ	HG01352_20210805_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352	ont	HG01352_20210817_UL_eee-prom1-1A-PAH35732_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown	FASTQ	HG01352_20210817_UL_eee-prom1-1A-PAH35732_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352	ont	HG01352_20210817_UL_eee-prom1-1C-PAH34287_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown	FASTQ	HG01352_20210817_UL_eee-prom1-1C-PAH34287_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352	ont	HG01352_20210819_UL_eee-prom1-1C-PAH34287_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown	FASTQ	HG01352_20210819_UL_eee-prom1-1C-PAH34287_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352	ont	HG01352_20210831_UL_eee-prom1-3D-PAH62033_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown	FASTQ	HG01352_20210831_UL_eee-prom1-3D-PAH62033_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352	ont	HG01352_20210902_UL_eee-prom1-3D-PAH62033_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown	FASTQ	HG01352_20210902_UL_eee-prom1-3D-PAH62033_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352	ont	HG01352_20210915_UL_eee-prom1-3A-PAH79870_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown	FASTQ	HG01352_20210915_UL_eee-prom1-3A-PAH79870_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352	ont	HG01352_20210917_UL_eee-prom1-3A-PAH79870_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown	FASTQ	HG01352_20210917_UL_eee-prom1-3A-PAH79870_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352	ont	HG01352_20210928_UL_eee-prom1-3A-PAH79825_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown	FASTQ	HG01352_20210928_UL_eee-prom1-3A-PAH79825_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352	ont	HG01352_20211102_UL_eee-prom1-1A-PAI18864_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown	FASTQ	HG01352_20211102_UL_eee-prom1-1A-PAI18864_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01573	ont	20220920_HG01573_UL_eee-prom1-1C-PAM64632_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01573	unknown	FASTQ	20220920_HG01573_UL_eee-prom1-1C-PAM64632_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
