sample	datatype	file_name	remote_path	accession
NA12329	hifi	m64076_220126_113534.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA12329	unknown
NA12329	hifi	m64076_220122_011847.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA12329	unknown
NA19983	hifi	m64076_220217_122931.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA19983	unknown
NA19983	hifi	m54329U_220219_025145.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA19983	unknown
NA19983	hifi	m54329U_220211_113834.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA19983	unknown
NA19983	ont	20230215_NA19983_UL_eee-prom1-3B-PAM44162_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19983	unknown
NA19983	ont	20230214_NA19983_UL_eee-prom1-3B-PAM44162_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19983	unknown
NA19983	ont	20230209_NA19983_UL_eee-prom1-3H-PAG66270_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19983	unknown
NA19983	ont	20230208_NA19983_UL_eee-prom1-2F-PAG84371_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19983	unknown
NA19983	ont	20230207_NA19983_UL_eee-prom1-3H-PAG66270_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19983	unknown
NA19983	ont	20230202_NA19983_UL_eee-prom1-3H-PAG84419_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19983	unknown
NA19983	ont	20230201_NA19983_UL_eee-prom1-3H-PAG84419_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19983	unknown
NA19983	ont	20230131_NA19983_UL_eee-prom1-3H-PAG84419_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19983	unknown
NA19983	ont	20230131_NA19983_UL_eee-prom1-2G-PAG79639_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19983	unknown
HG03683	ont	20230223_HG03683_UL_eee-prom1-3E-PAM43089_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG03683	unknown
HG03683	ont	20230223_HG03683_UL_eee-prom1-2B-PAM43089_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG03683	unknown
HG03683	ont	20230221_HG03683_UL_eee-prom1-3F-PAM41696_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG03683	unknown
HG03683	ont	20230221_HG03683_UL_eee-prom1-3E-PAM43089_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG03683	unknown
HG03683	ont	20230214_HG03683_UL_eee-prom1-2H-PAG77581_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG03683	unknown
HG03683	ont	20230214_HG03683_UL_eee-prom1-2G-PAG79669_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG03683	unknown
HG00864	hifi	m64076_220214_105131.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/HG00864	unknown
HG00864	hifi	m64076_220212_235702.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/HG00864	unknown
HG00864	hifi	m64076_220206_113231.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/HG00864	unknown
NA20847	hifi	m64076_220207_222645.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA20847	unknown
NA20847	hifi	m64076_220205_003337.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA20847	unknown
NA20847	hifi	m64076_220202_232805.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA20847	unknown
HG02818	hifi	m64043_200207_235213.ccs	AWS:HPRC:working/HPRC_PLUS/HG02818/raw_data/PacBio_HiFi	PRJNA339722
HG02818	hifi	HG02818_m64043_200209_061852.SRR14611219.lib1	AWS:HPRC:working/HPRC_PLUS/HG02818/raw_data/PacBio_HiFi	PRJNA731524
HG02818	ont	HG02818_20211110_UL_eee-prom1-2A-PAI18607_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02818	unknown
HG02818	ont	HG02818_20211109_UL_eee-prom1-1D-PAI18279_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02818	unknown
HG02818	ont	HG02818_20211109_UL_eee-prom1-1C-PAI19866_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02818	unknown
HG02818	ont	HG02818_20210908_UL_eee-prom1-2E-PAH61807_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02818	unknown
HG02818	ont	HG02818_20210810_UL_eee-prom1-2C-PAH40179_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02818	unknown
HG02818	ont	HG02818_20210713_UL_eee-prom1-2B-PAH36289_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02818	unknown
HG01352	hifi	m54329U_210330_183359.hifi_reads	IGSR:HGSVC3:/working/20210509_UW_HiFi/HG01352	unknown
HG01352	hifi	m54329U_210320_235902.hifi_reads	IGSR:HGSVC3:/working/20210509_UW_HiFi/HG01352	unknown
HG01352	hifi	m54329U_200826_013039.ccs	IGSR:HGSVC3:/working/20210509_UW_HiFi/HG01352	unknown
HG01352	hifi	m54329U_200824_191532.ccs	IGSR:HGSVC3:/working/20210509_UW_HiFi/HG01352	unknown
HG01352	hifi	m54329U_200819_192918.ccs	IGSR:HGSVC3:/working/20210509_UW_HiFi/HG01352	unknown
HG01352	ont	HG01352_20211102_UL_eee-prom1-1A-PAI18864_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown
HG01352	ont	HG01352_20210928_UL_eee-prom1-3A-PAH79825_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown
HG01352	ont	HG01352_20210917_UL_eee-prom1-3A-PAH79870_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown
HG01352	ont	HG01352_20210915_UL_eee-prom1-3A-PAH79870_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown
HG01352	ont	HG01352_20210902_UL_eee-prom1-3D-PAH62033_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown
HG01352	ont	HG01352_20210831_UL_eee-prom1-3D-PAH62033_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown
